,precision,recall,f1-score,support
0,0.9583333333333334,0.5609756097560976,0.7076923076923077,41.0
1,0.3793103448275862,0.9166666666666666,0.5365853658536586,12.0
accuracy,,,0.6415094339622641,53.0
macro avg,0.6688218390804598,0.7388211382113821,0.6221388367729832,53.0
weighted avg,0.8272337887659944,0.6415094339622641,0.6689511133137457,53.0
micro avg,0.6415094339622641,0.6415094339622641,0.6415094339622641,53.0
