,precision,recall,f1-score,support
0,0.8571428571428571,0.8780487804878049,0.8674698795180723,41.0
1,0.5454545454545454,0.5,0.5217391304347826,12.0
accuracy,,,0.7924528301886793,53.0
macro avg,0.7012987012987013,0.6890243902439024,0.6946045049764275,53.0
weighted avg,0.7865719186473903,0.7924528301886793,0.7891912193482709,53.0
micro avg,0.7924528301886793,0.7924528301886793,0.7924528301886793,53.0
