,precision,recall,f1-score,support
0,0.9230769230769231,0.2926829268292683,0.4444444444444444,41.0
1,0.275,0.9166666666666666,0.4230769230769231,12.0
accuracy,,,0.4339622641509434,53.0
macro avg,0.5990384615384616,0.6046747967479674,0.4337606837606838,53.0
weighted avg,0.7763425253991292,0.4339622641509434,0.4396065150782132,53.0
micro avg,0.4339622641509434,0.4339622641509434,0.43396226415094347,53.0
