,precision,recall,f1-score,support
0,0.9310344827586207,0.6585365853658537,0.7714285714285715,41.0
1,0.4166666666666667,0.8333333333333334,0.5555555555555556,12.0
accuracy,,,0.6981132075471698,53.0
macro avg,0.6738505747126436,0.7459349593495935,0.6634920634920636,53.0
weighted avg,0.8145738451528952,0.6981132075471698,0.7225516621743038,53.0
micro avg,0.6981132075471698,0.6981132075471698,0.6981132075471698,53.0
