,precision,recall,f1-score,support
0,0.8421052631578947,0.7804878048780488,0.810126582278481,41.0
1,0.4,0.5,0.4444444444444444,12.0
accuracy,,,0.7169811320754716,53.0
macro avg,0.6210526315789473,0.6402439024390244,0.6272855133614628,53.0
weighted avg,0.7420059582919563,0.7169811320754716,0.7273306265424727,53.0
micro avg,0.7169811320754716,0.7169811320754716,0.7169811320754716,53.0
