,precision,recall,f1-score,support
0,0.7931034482758621,0.5609756097560976,0.6571428571428571,41.0
1,0.25,0.5,0.3333333333333333,12.0
accuracy,,,0.5471698113207547,53.0
macro avg,0.521551724137931,0.5304878048780488,0.49523809523809526,53.0
weighted avg,0.6701366297983085,0.5471698113207548,0.5838274932614556,53.0
micro avg,0.5471698113207547,0.5471698113207547,0.5471698113207547,53.0
