,precision,recall,f1-score,support
0,0.8409090909090909,0.9024390243902439,0.8705882352941177,41.0
1,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
accuracy,,,0.7924528301886793,53.0
macro avg,0.6982323232323233,0.6595528455284553,0.673389355742297,53.0
weighted avg,0.7763007432818753,0.7924528301886793,0.7812906294593309,53.0
micro avg,0.7924528301886793,0.7924528301886793,0.7924528301886793,53.0
