,precision,recall,f1-score,support
0,0.8918918918918919,0.8048780487804879,0.8461538461538461,41.0
1,0.5,0.6666666666666666,0.5714285714285714,12.0
accuracy,,,0.7735849056603774,53.0
macro avg,0.6959459459459459,0.7357723577235773,0.7087912087912087,53.0
weighted avg,0.803161652218256,0.7735849056603774,0.7839518971594442,53.0
micro avg,0.7735849056603774,0.7735849056603774,0.7735849056603775,53.0
