,precision,recall,f1-score,support
0,0.8837209302325582,0.926829268292683,0.9047619047619048,41.0
1,0.7,0.5833333333333334,0.6363636363636364,12.0
accuracy,,,0.8490566037735849,53.0
macro avg,0.791860465116279,0.7550813008130082,0.7705627705627706,53.0
weighted avg,0.8421237384817903,0.8490566037735849,0.8439924855019194,53.0
micro avg,0.8490566037735849,0.8490566037735849,0.8490566037735849,53.0
