,precision,recall,f1-score,support
0,0.8636363636363636,0.926829268292683,0.8941176470588236,41.0
1,0.6666666666666666,0.5,0.5714285714285714,12.0
accuracy,,,0.8301886792452831,53.0
macro avg,0.7651515151515151,0.7134146341463414,0.7327731092436975,53.0
weighted avg,0.8190394511149227,0.8301886792452831,0.8210559695576344,53.0
micro avg,0.8301886792452831,0.8301886792452831,0.8301886792452831,53.0
