,precision,recall,f1-score,support
0,0.8478260869565217,0.9512195121951219,0.896551724137931,41.0
1,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0
accuracy,,,0.8301886792452831,53.0
macro avg,0.781055900621118,0.6839430894308943,0.7114337568058076,53.0
weighted avg,0.8175905308801125,0.8301886792452831,0.8127247200630073,53.0
micro avg,0.8301886792452831,0.8301886792452831,0.8301886792452831,53.0
