,precision,recall,f1-score,support
0,0.9024390243902439,0.9024390243902439,0.9024390243902439,41.0
1,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0
accuracy,,,0.8490566037735849,53.0
macro avg,0.7845528455284553,0.7845528455284553,0.7845528455284553,53.0
weighted avg,0.8490566037735849,0.8490566037735849,0.8490566037735849,53.0
micro avg,0.8490566037735849,0.8490566037735849,0.8490566037735849,53.0
