,precision,recall,f1-score,support
0,1.0,0.3902439024390244,0.5614035087719298,41.0
1,0.32432432432432434,1.0,0.4897959183673469,12.0
accuracy,,,0.5283018867924528,53.0
macro avg,0.6621621621621622,0.6951219512195121,0.5255997135696384,53.0
weighted avg,0.8470168281489037,0.5283018867924528,0.5451904694350431,53.0
micro avg,0.5283018867924528,0.5283018867924528,0.5283018867924528,53.0
