,precision,recall,f1-score,support
0,0.8888888888888888,0.5853658536585366,0.7058823529411765,41.0
1,0.34615384615384615,0.75,0.47368421052631576,12.0
accuracy,,,0.6226415094339622,53.0
macro avg,0.6175213675213675,0.6676829268292683,0.5897832817337462,53.0
weighted avg,0.766005482986615,0.6226415094339622,0.6533091886208306,53.0
micro avg,0.6226415094339622,0.6226415094339622,0.6226415094339622,53.0
