,precision,recall,f1-score,support
0,0.8620689655172413,0.6097560975609756,0.7142857142857143,41.0
1,0.3333333333333333,0.6666666666666666,0.4444444444444444,12.0
accuracy,,,0.6226415094339622,53.0
macro avg,0.5977011494252873,0.6382113821138211,0.5793650793650793,53.0
weighted avg,0.7423552374756018,0.6226415094339622,0.6531895777178797,53.0
micro avg,0.6226415094339622,0.6226415094339622,0.6226415094339622,53.0
