,precision,recall,f1-score,support
0,0.8717948717948718,0.8292682926829268,0.85,41.0
1,0.5,0.5833333333333334,0.5384615384615384,12.0
accuracy,,,0.7735849056603774,53.0
macro avg,0.6858974358974359,0.7063008130081301,0.6942307692307692,53.0
weighted avg,0.787614900822448,0.7735849056603774,0.7794629898403483,53.0
micro avg,0.7735849056603774,0.7735849056603774,0.7735849056603775,53.0
