,precision,recall,f1-score,support
0,0.6666666666666666,0.24390243902439024,0.35714285714285715,41.0
1,0.18421052631578946,0.5833333333333334,0.28,12.0
accuracy,,,0.32075471698113206,53.0
macro avg,0.42543859649122806,0.4136178861788618,0.3185714285714286,53.0
weighted avg,0.5574313141343925,0.32075471698113206,0.3396765498652291,53.0
micro avg,0.32075471698113206,0.32075471698113206,0.32075471698113206,53.0
