,precision,recall,f1-score,support
0,0.7872340425531915,0.9024390243902439,0.8409090909090909,41.0
1,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
accuracy,,,0.7358490566037735,53.0
macro avg,0.5602836879432624,0.5345528455284553,0.5315656565656566,53.0
weighted avg,0.6844640706543558,0.7358490566037735,0.7008290451686677,53.0
micro avg,0.7358490566037735,0.7358490566037735,0.7358490566037735,53.0
