,precision,recall,f1-score,support
0,0.9615384615384616,0.6097560975609756,0.746268656716418,41.0
1,0.4074074074074074,0.9166666666666666,0.5641025641025641,12.0
accuracy,,,0.6792452830188679,53.0
macro avg,0.6844729344729344,0.7632113821138211,0.6551856104094911,53.0
weighted avg,0.8360748266408644,0.6792452830188679,0.7050235036717718,53.0
micro avg,0.6792452830188679,0.6792452830188679,0.6792452830188679,53.0
