,precision,recall,f1-score,support
0,0.8260869565217391,0.4634146341463415,0.59375,41.0
1,0.26666666666666666,0.6666666666666666,0.38095238095238093,12.0
accuracy,,,0.5094339622641509,53.0
macro avg,0.5463768115942029,0.5650406504065041,0.48735119047619047,53.0
weighted avg,0.699425758818704,0.5094339622641509,0.5455694070080862,53.0
micro avg,0.5094339622641509,0.5094339622641509,0.5094339622641509,53.0
