,precision,recall,f1-score,support
0,0.7755102040816326,0.926829268292683,0.8444444444444444,41.0
1,0.25,0.08333333333333333,0.125,12.0
accuracy,,,0.7358490566037735,53.0
macro avg,0.5127551020408163,0.5050813008130082,0.4847222222222222,53.0
weighted avg,0.6565267616480556,0.7358490566037735,0.6815513626834381,53.0
micro avg,0.7358490566037735,0.7358490566037735,0.7358490566037735,53.0
