,precision,recall,f1-score,support
0,0.8292682926829268,0.8292682926829268,0.8292682926829268,41.0
1,0.4166666666666667,0.4166666666666667,0.4166666666666667,12.0
accuracy,,,0.7358490566037735,53.0
macro avg,0.6229674796747967,0.6229674796747967,0.6229674796747967,53.0
weighted avg,0.7358490566037735,0.7358490566037735,0.7358490566037735,53.0
micro avg,0.7358490566037735,0.7358490566037735,0.7358490566037735,53.0
